id,method,dataset,paramters,accuracy,time
20,1NN,SSL1,NA,0.9708576186511241,0.16578006744384766
62,1NN,SSL2,NA,0.9608333333333333,0.1660921573638916
104,1NN,SSL3,NA,0.96,0.11565780639648438
146,1NN,SSL4,NA,0.490625,0.012861013412475586
188,1NN,SSL5,NA,0.6133333333333333,0.1656639575958252
230,1NN,SSL6,NA,0.8966666666666666,0.13683247566223145
272,1NN,SSL7,NA,0.649458784346378,0.17086434364318848
314,1NN,SSL1,NA,0.9675270607826811,0.1658921241760254
356,1NN,SSL2,NA,0.9483333333333334,0.16594719886779785
398,1NN,SSL3,NA,0.9666666666666667,0.11438751220703125
440,1NN,SSL4,NA,0.484375,0.012612342834472656
482,1NN,SSL5,NA,0.6358333333333334,0.16646695137023926
524,1NN,SSL6,NA,0.8833333333333333,0.14167475700378418
566,1NN,SSL7,NA,0.6419650291423813,0.16631126403808594
608,1NN,SSL1,NA,0.9766860949208993,0.16632366180419922
650,1NN,SSL2,NA,0.9466666666666667,0.16729736328125
692,1NN,SSL3,NA,0.9441666666666667,0.11835980415344238
734,1NN,SSL4,NA,0.571875,0.012854814529418945
776,1NN,SSL5,NA,0.6141666666666666,0.1658635139465332
818,1NN,SSL6,NA,0.8891666666666667,0.13756656646728516
860,1NN,SSL7,NA,0.6402997502081599,0.16512703895568848
902,1NN,SSL1,NA,0.9633638634471274,0.1647632122039795
944,1NN,SSL2,NA,0.95,0.16657352447509766
986,1NN,SSL3,NA,0.9458333333333333,0.11154603958129883
1028,1NN,SSL4,NA,0.58125,0.01270437240600586
1070,1NN,SSL5,NA,0.5908333333333333,0.1648697853088379
1112,1NN,SSL6,NA,0.8975,0.1353607177734375
1154,1NN,SSL7,NA,0.6594504579517069,0.16592144966125488
1196,1NN,SSL1,NA,0.9666944213155704,0.16602730751037598
1238,1NN,SSL2,NA,0.955,0.16700315475463867
1280,1NN,SSL3,NA,0.9583333333333334,0.11629080772399902
1322,1NN,SSL4,NA,0.565625,0.012866735458374023
1364,1NN,SSL5,NA,0.6458333333333334,0.16373276710510254
1406,1NN,SSL6,NA,0.89,0.13936948776245117
1448,1NN,SSL7,NA,0.652789342214821,0.16512370109558105
1490,1NN,SSL1,NA,0.9542048293089093,0.16568565368652344
1532,1NN,SSL2,NA,0.9458333333333333,0.16790008544921875
1574,1NN,SSL3,NA,0.965,0.1182563304901123
1616,1NN,SSL4,NA,0.51875,0.01316976547241211
1658,1NN,SSL5,NA,0.6175,0.16668987274169922
1700,1NN,SSL6,NA,0.8975,0.1402113437652588
1742,1NN,SSL7,NA,0.6136552872606161,0.16623163223266602
1784,1NN,SSL1,NA,0.9616985845129059,0.16827178001403809
1826,1NN,SSL2,NA,0.9508333333333333,0.1680440902709961
1868,1NN,SSL3,NA,0.9566666666666667,0.1163020133972168
1910,1NN,SSL4,NA,0.503125,0.01294255256652832
1952,1NN,SSL5,NA,0.6425,0.1665966510772705
1994,1NN,SSL6,NA,0.9025,0.139204740524292
2036,1NN,SSL7,NA,0.6378018318068276,0.16664958000183105
2078,1NN,SSL1,NA,0.9783513738551207,0.16304874420166016
2120,1NN,SSL2,NA,0.9533333333333334,0.16702890396118164
2162,1NN,SSL3,NA,0.9608333333333333,0.1168062686920166
2204,1NN,SSL4,NA,0.559375,0.012664079666137695
2246,1NN,SSL5,NA,0.6008333333333333,0.16887569427490234
2288,1NN,SSL6,NA,0.9,0.1410822868347168
2330,1NN,SSL7,NA,0.6427976686094921,0.1651594638824463
2372,1NN,SSL1,NA,0.9658617818484596,0.16814875602722168
2414,1NN,SSL2,NA,0.9583333333333334,0.16672301292419434
2456,1NN,SSL3,NA,0.9483333333333334,0.11631917953491211
2498,1NN,SSL4,NA,0.50625,0.01265096664428711
2540,1NN,SSL5,NA,0.5991666666666666,0.1711585521697998
2582,1NN,SSL6,NA,0.8891666666666667,0.12665343284606934
2624,1NN,SSL7,NA,0.6461282264779351,0.16657543182373047
2666,1NN,SSL1,NA,0.9683597002497918,0.16705822944641113
2708,1NN,SSL2,NA,0.9658333333333333,0.16462445259094238
2750,1NN,SSL3,NA,0.9491666666666667,0.11639404296875
2792,1NN,SSL4,NA,0.54375,0.01288914680480957
2834,1NN,SSL5,NA,0.6208333333333333,0.1656513214111328
2876,1NN,SSL6,NA,0.885,0.1490476131439209
2918,1NN,SSL7,NA,0.6161532056619484,0.16540074348449707
2960,1NN,SSL1,NA,0.9658617818484596,0.1667158603668213
3002,1NN,SSL2,NA,0.9483333333333334,0.16613507270812988
3044,1NN,SSL3,NA,0.9633333333333334,0.14976811408996582
3086,1NN,SSL4,NA,0.50625,0.013004302978515625
3128,1NN,SSL5,NA,0.6108333333333333,0.16617107391357422
3170,1NN,SSL6,NA,0.9033333333333333,0.13495206832885742
3212,1NN,SSL7,NA,0.6461282264779351,0.16754484176635742
3254,1NN,SSL1,NA,0.9633638634471274,0.1634504795074463
3296,1NN,SSL2,NA,0.9525,0.16434550285339355
3338,1NN,SSL3,NA,0.9566666666666667,0.1159052848815918
3380,1NN,SSL4,NA,0.578125,0.012614727020263672
3422,1NN,SSL5,NA,0.5991666666666666,0.16540932655334473
3464,1NN,SSL6,NA,0.905,0.14617156982421875
3506,1NN,SSL7,NA,0.630308076602831,0.16619467735290527
3548,1NN,SSL1,NA,0.980849292256453,0.16635704040527344
3590,1NN,SSL2,NA,0.9525,0.16688323020935059
3632,1NN,SSL3,NA,0.9583333333333334,0.1166696548461914
3674,1NN,SSL4,NA,0.584375,0.012768745422363281
3716,1NN,SSL5,NA,0.6375,0.16611433029174805
3758,1NN,SSL6,NA,0.9108333333333334,0.12920689582824707
3800,1NN,SSL7,NA,0.6394671107410491,0.16366291046142578
3842,1NN,SSL1,NA,0.9666944213155704,0.1645984649658203
3884,1NN,SSL2,NA,0.9533333333333334,0.16539549827575684
3926,1NN,SSL3,NA,0.9608333333333333,0.11634349822998047
3968,1NN,SSL4,NA,0.528125,0.012938976287841797
4010,1NN,SSL5,NA,0.6041666666666666,0.16429376602172852
4052,1NN,SSL6,NA,0.8941666666666667,0.13984012603759766
4094,1NN,SSL7,NA,0.6236469608659451,0.16590213775634766
4136,1NN,SSL1,NA,0.9650291423813488,0.16518759727478027
