id,method,dataset,paramters,accuracy,time
39,Ensemblewatershed,SSL1,num_features=20,0.9850124895920067,28.370996713638306
40,Ensemblewatershed,SSL1,num_features=30,0.9825145711906744,28.58713173866272
41,Ensemblewatershed,SSL1,num_features=50,0.9875104079933389,29.00045871734619
81,Ensemblewatershed,SSL2,num_features=20,0.9091666666666667,32.37416172027588
82,Ensemblewatershed,SSL2,num_features=30,0.915,32.3710458278656
83,Ensemblewatershed,SSL2,num_features=50,0.9325,32.525407552719116
123,Ensemblewatershed,SSL3,num_features=20,0.9625,86.84820771217346
124,Ensemblewatershed,SSL3,num_features=30,0.9908333333333333,87.45572447776794
125,Ensemblewatershed,SSL3,num_features=50,1.0,90.37706279754639
165,Ensemblewatershed,SSL4,num_features=20,0.490625,7.797287225723267
166,Ensemblewatershed,SSL4,num_features=30,0.5,7.791664361953735
167,Ensemblewatershed,SSL4,num_features=50,0.49375,7.898614883422852
207,Ensemblewatershed,SSL5,num_features=20,0.605,41.82083201408386
208,Ensemblewatershed,SSL5,num_features=30,0.6475,41.83631682395935
209,Ensemblewatershed,SSL5,num_features=50,0.6441666666666667,42.29768204689026
249,Ensemblewatershed,SSL6,num_features=20,0.9425,40.36047840118408
250,Ensemblewatershed,SSL6,num_features=30,0.9458333333333333,41.08146810531616
251,Ensemblewatershed,SSL6,num_features=50,0.9508333333333333,42.42255902290344
291,Ensemblewatershed,SSL7,num_features=20,0.6469608659450458,40.96493053436279
292,Ensemblewatershed,SSL7,num_features=30,0.6411323896752706,40.41221213340759
293,Ensemblewatershed,SSL7,num_features=50,0.652789342214821,41.069069147109985
333,Ensemblewatershed,SSL1,num_features=20,0.9766860949208993,28.6233549118042
334,Ensemblewatershed,SSL1,num_features=30,0.97751873438801,28.826704502105713
335,Ensemblewatershed,SSL1,num_features=50,0.9750208159866778,29.143877267837524
375,Ensemblewatershed,SSL2,num_features=20,0.9066666666666666,32.245479345321655
376,Ensemblewatershed,SSL2,num_features=30,0.9108333333333334,32.081692934036255
377,Ensemblewatershed,SSL2,num_features=50,0.9208333333333333,32.25100612640381
417,Ensemblewatershed,SSL3,num_features=20,0.9925,86.29540657997131
418,Ensemblewatershed,SSL3,num_features=30,0.9975,87.28894782066345
419,Ensemblewatershed,SSL3,num_features=50,0.9975,89.27210688591003
459,Ensemblewatershed,SSL4,num_features=20,0.528125,7.763029098510742
460,Ensemblewatershed,SSL4,num_features=30,0.521875,7.791544437408447
461,Ensemblewatershed,SSL4,num_features=50,0.546875,7.778818607330322
501,Ensemblewatershed,SSL5,num_features=20,0.5925,41.659414768218994
502,Ensemblewatershed,SSL5,num_features=30,0.6316666666666667,42.2060387134552
503,Ensemblewatershed,SSL5,num_features=50,0.5983333333333334,42.587175607681274
543,Ensemblewatershed,SSL6,num_features=20,0.9258333333333333,40.00839614868164
544,Ensemblewatershed,SSL6,num_features=30,0.9416666666666667,40.48239803314209
545,Ensemblewatershed,SSL6,num_features=50,0.9425,42.13524627685547
585,Ensemblewatershed,SSL7,num_features=20,0.6927560366361366,40.53616237640381
586,Ensemblewatershed,SSL7,num_features=30,0.7077435470441299,40.520676136016846
587,Ensemblewatershed,SSL7,num_features=50,0.6902581182348043,41.191606521606445
627,Ensemblewatershed,SSL1,num_features=20,0.97751873438801,28.831694841384888
628,Ensemblewatershed,SSL1,num_features=30,0.980849292256453,28.78989315032959
629,Ensemblewatershed,SSL1,num_features=50,0.9791840133222315,28.93319010734558
669,Ensemblewatershed,SSL2,num_features=20,0.9,32.54305124282837
670,Ensemblewatershed,SSL2,num_features=30,0.9141666666666667,32.45060729980469
671,Ensemblewatershed,SSL2,num_features=50,0.92,32.536582708358765
711,Ensemblewatershed,SSL3,num_features=20,0.9875,86.71348452568054
712,Ensemblewatershed,SSL3,num_features=30,0.995,86.90471839904785
713,Ensemblewatershed,SSL3,num_features=50,1.0,89.45521473884583
753,Ensemblewatershed,SSL4,num_features=20,0.521875,7.740432977676392
754,Ensemblewatershed,SSL4,num_features=30,0.559375,7.701834201812744
755,Ensemblewatershed,SSL4,num_features=50,0.56875,7.848410606384277
795,Ensemblewatershed,SSL5,num_features=20,0.6233333333333333,41.45530676841736
796,Ensemblewatershed,SSL5,num_features=30,0.6675,41.921379804611206
797,Ensemblewatershed,SSL5,num_features=50,0.635,43.00362014770508
837,Ensemblewatershed,SSL6,num_features=20,0.9416666666666667,42.277376651763916
838,Ensemblewatershed,SSL6,num_features=30,0.9466666666666667,41.58784866333008
839,Ensemblewatershed,SSL6,num_features=50,0.9525,42.267669677734375
879,Ensemblewatershed,SSL7,num_features=20,0.6694421315570358,41.65211725234985
880,Ensemblewatershed,SSL7,num_features=30,0.5970024979184013,41.065592765808105
881,Ensemblewatershed,SSL7,num_features=50,0.6794338051623647,40.42565560340881
921,Ensemblewatershed,SSL1,num_features=20,0.9825145711906744,31.346338033676147
922,Ensemblewatershed,SSL1,num_features=30,0.9816819317235637,28.600687265396118
923,Ensemblewatershed,SSL1,num_features=50,0.9816819317235637,28.852261543273926
963,Ensemblewatershed,SSL2,num_features=20,0.9166666666666666,32.93471956253052
964,Ensemblewatershed,SSL2,num_features=30,0.9175,33.760889291763306
965,Ensemblewatershed,SSL2,num_features=50,0.9308333333333333,32.34317111968994
1005,Ensemblewatershed,SSL3,num_features=20,0.9875,86.69517302513123
1006,Ensemblewatershed,SSL3,num_features=30,0.9975,87.72877502441406
1007,Ensemblewatershed,SSL3,num_features=50,0.9991666666666666,89.52677750587463
