id,method,dataset,paramters,accuracy,time
5,PW,SSL1,beta=1.0:k=1,0.9858451290591174,0.8522326946258545
6,PW,SSL1,beta=1.0:k=3,0.9858451290591174,1.5445163249969482
7,PW,SSL1,beta=1.0:k=5,0.9833472106577852,2.2258551120758057
8,PW,SSL1,beta=1.0:k=10,0.9825145711906744,3.0228378772735596
9,PW,SSL1,beta=3.0:k=1,0.9850124895920067,0.8529393672943115
10,PW,SSL1,beta=3.0:k=3,0.980849292256453,1.1066560745239258
11,PW,SSL1,beta=3.0:k=5,0.9833472106577852,1.325735330581665
12,PW,SSL1,beta=3.0:k=10,0.9816819317235637,1.9326436519622803
13,PW,SSL1,beta=5.0:k=1,0.9850124895920067,0.8425109386444092
14,PW,SSL1,beta=5.0:k=3,0.9850124895920067,0.9597320556640625
15,PW,SSL1,beta=5.0:k=5,0.9850124895920067,1.2014436721801758
16,PW,SSL1,beta=5.0:k=10,0.9850124895920067,1.3840999603271484
47,PW,SSL2,beta=1.0:k=1,0.905,0.981544017791748
48,PW,SSL2,beta=1.0:k=3,0.9591666666666666,1.4602277278900146
49,PW,SSL2,beta=1.0:k=5,0.9508333333333333,2.5355703830718994
50,PW,SSL2,beta=1.0:k=10,0.9558333333333333,3.064229965209961
51,PW,SSL2,beta=3.0:k=1,0.9216666666666666,1.0926952362060547
52,PW,SSL2,beta=3.0:k=3,0.9216666666666666,1.5335016250610352
53,PW,SSL2,beta=3.0:k=5,0.9216666666666666,2.051222801208496
54,PW,SSL2,beta=3.0:k=10,0.9258333333333333,2.419989824295044
55,PW,SSL2,beta=5.0:k=1,0.8975,0.986915111541748
56,PW,SSL2,beta=5.0:k=3,0.8966666666666666,1.4112491607666016
57,PW,SSL2,beta=5.0:k=5,0.8966666666666666,1.7453386783599854
58,PW,SSL2,beta=5.0:k=10,0.8933333333333333,2.4950461387634277
89,PW,SSL3,beta=1.0:k=1,0.765,2.402299165725708
90,PW,SSL3,beta=1.0:k=3,0.9566666666666667,3.3640568256378174
91,PW,SSL3,beta=1.0:k=5,0.9633333333333334,4.707391977310181
92,PW,SSL3,beta=1.0:k=10,0.9808333333333333,6.974017143249512
93,PW,SSL3,beta=3.0:k=1,0.8791666666666667,2.7355663776397705
94,PW,SSL3,beta=3.0:k=3,0.9541666666666667,3.0939247608184814
95,PW,SSL3,beta=3.0:k=5,0.9691666666666666,3.548954725265503
