id,method,dataset,paramters,accuracy,time
21,RFC,SSL1,max_depth=3,0.9217318900915903,0.15693211555480957
22,RFC,SSL1,max_depth=4,0.9342214820982515,0.171187162399292
23,RFC,SSL1,max_depth=5,0.9375520399666945,0.18237876892089844
24,RFC,SSL1,max_depth=6,0.9442131557035803,0.19384074211120605
25,RFC,SSL1,max_depth=7,0.9317235636969192,0.1984255313873291
26,RFC,SSL1,max_depth=8,0.9442131557035803,0.20307374000549316
27,RFC,SSL1,max_depth=9,0.9492089925062448,0.2064037322998047
28,RFC,SSL1,max_depth=10,0.9492089925062448,0.20842385292053223
29,RFC,SSL1,max_depth=11,0.9433805162364696,0.21095824241638184
30,RFC,SSL1,max_depth=12,0.95503746877602,0.20897626876831055
31,RFC,SSL1,max_depth=13,0.9492089925062448,0.20770716667175293
32,RFC,SSL1,max_depth=14,0.9508742714404663,0.21013808250427246
33,RFC,SSL1,max_depth=15,0.948376353039134,0.212907075881958
34,RFC,SSL1,max_depth=16,0.9433805162364696,0.21166372299194336
35,RFC,SSL1,max_depth=17,0.9533721898417985,0.20908474922180176
36,RFC,SSL1,max_depth=18,0.9458784346378019,0.209306001663208
37,RFC,SSL1,max_depth=19,0.9350541215653622,0.20951414108276367
38,RFC,SSL1,max_depth=20,0.9358867610324729,0.21113872528076172
63,RFC,SSL2,max_depth=3,0.85,0.1563420295715332
64,RFC,SSL2,max_depth=4,0.85,0.17107295989990234
65,RFC,SSL2,max_depth=5,0.8616666666666667,0.18671941757202148
66,RFC,SSL2,max_depth=6,0.8758333333333334,0.19684839248657227
67,RFC,SSL2,max_depth=7,0.8766666666666667,0.20559954643249512
68,RFC,SSL2,max_depth=8,0.8783333333333333,0.21500658988952637
69,RFC,SSL2,max_depth=9,0.8875,0.2175428867340088
70,RFC,SSL2,max_depth=10,0.8908333333333334,0.21512603759765625
71,RFC,SSL2,max_depth=11,0.8933333333333333,0.22057271003723145
72,RFC,SSL2,max_depth=12,0.8858333333333334,0.22134709358215332
73,RFC,SSL2,max_depth=13,0.885,0.21926379203796387
74,RFC,SSL2,max_depth=14,0.8866666666666667,0.22094392776489258
75,RFC,SSL2,max_depth=15,0.8733333333333333,0.22076654434204102
76,RFC,SSL2,max_depth=16,0.8916666666666667,0.21755099296569824
77,RFC,SSL2,max_depth=17,0.8916666666666667,0.221390962600708
78,RFC,SSL2,max_depth=18,0.8858333333333334,0.22542071342468262
79,RFC,SSL2,max_depth=19,0.8808333333333334,0.2232670783996582
80,RFC,SSL2,max_depth=20,0.8891666666666667,0.22106170654296875
105,RFC,SSL3,max_depth=3,0.8033333333333333,0.15629887580871582
106,RFC,SSL3,max_depth=4,0.8716666666666667,0.1714916229248047
107,RFC,SSL3,max_depth=5,0.8858333333333334,0.18749141693115234
108,RFC,SSL3,max_depth=6,0.9083333333333333,0.19167375564575195
109,RFC,SSL3,max_depth=7,0.9083333333333333,0.19424152374267578
110,RFC,SSL3,max_depth=8,0.9108333333333334,0.20188117027282715
111,RFC,SSL3,max_depth=9,0.915,0.20077085494995117
112,RFC,SSL3,max_depth=10,0.9091666666666667,0.2003493309020996
113,RFC,SSL3,max_depth=11,0.9158333333333334,0.20451664924621582
114,RFC,SSL3,max_depth=12,0.9191666666666667,0.20455169677734375
115,RFC,SSL3,max_depth=13,0.9133333333333333,0.20419549942016602
116,RFC,SSL3,max_depth=14,0.915,0.20621895790100098
117,RFC,SSL3,max_depth=15,0.9125,0.20560669898986816
118,RFC,SSL3,max_depth=16,0.9116666666666666,0.20485591888427734
119,RFC,SSL3,max_depth=17,0.9141666666666667,0.20403242111206055
120,RFC,SSL3,max_depth=18,0.9066666666666666,0.20334076881408691
121,RFC,SSL3,max_depth=19,0.9116666666666666,0.2042222023010254
122,RFC,SSL3,max_depth=20,0.9133333333333333,0.20305705070495605
147,RFC,SSL4,max_depth=3,0.596875,0.1020345687866211
148,RFC,SSL4,max_depth=4,0.60625,0.10434842109680176
