id,method,dataset,paramters,accuracy,time
2,RW,SSL1,beta=1.0,0.9858451290591174,0.011836051940917969
3,RW,SSL1,beta=3.0,0.9850124895920067,0.009648799896240234
4,RW,SSL1,beta=5.0,0.9850124895920067,0.009763002395629883
44,RW,SSL2,beta=1.0,0.905,0.02202010154724121
45,RW,SSL2,beta=3.0,0.9216666666666666,0.08119773864746094
46,RW,SSL2,beta=5.0,0.8975,0.026363372802734375
86,RW,SSL3,beta=1.0,0.765,0.02935051918029785
87,RW,SSL3,beta=3.0,0.8791666666666667,0.17758893966674805
88,RW,SSL3,beta=5.0,0.9458333333333333,0.4427964687347412
128,RW,SSL4,beta=1.0,0.5375,0.008632183074951172
129,RW,SSL4,beta=3.0,0.496875,0.01254892349243164
130,RW,SSL4,beta=5.0,0.565625,0.005986690521240234
170,RW,SSL5,beta=1.0,0.7091666666666666,0.013508081436157227
171,RW,SSL5,beta=3.0,0.7091666666666666,0.01314234733581543
172,RW,SSL5,beta=5.0,0.7091666666666666,0.012793540954589844
212,RW,SSL6,beta=1.0,0.7666666666666667,0.0464327335357666
213,RW,SSL6,beta=3.0,0.9,0.5266191959381104
214,RW,SSL6,beta=5.0,0.9183333333333333,0.7402520179748535
254,RW,SSL7,beta=1.0,0.7735220649458784,0.01364588737487793
255,RW,SSL7,beta=3.0,0.7735220649458784,0.013541221618652344
256,RW,SSL7,beta=5.0,0.7735220649458784,0.01322031021118164
296,RW,SSL1,beta=1.0,0.9783513738551207,0.012100934982299805
297,RW,SSL1,beta=3.0,0.9758534554537885,0.009795188903808594
298,RW,SSL1,beta=5.0,0.9758534554537885,0.009839534759521484
338,RW,SSL2,beta=1.0,0.9008333333333334,0.021290063858032227
339,RW,SSL2,beta=3.0,0.91,0.08183097839355469
340,RW,SSL2,beta=5.0,0.8966666666666666,0.025194644927978516
380,RW,SSL3,beta=1.0,0.78,0.03247547149658203
381,RW,SSL3,beta=3.0,0.9025,0.20470046997070312
382,RW,SSL3,beta=5.0,0.9633333333333334,0.4513967037200928
422,RW,SSL4,beta=1.0,0.534375,0.009053230285644531
423,RW,SSL4,beta=3.0,0.509375,0.012456893920898438
424,RW,SSL4,beta=5.0,0.54375,0.005620479583740234
464,RW,SSL5,beta=1.0,0.635,0.01389002799987793
465,RW,SSL5,beta=3.0,0.635,0.013313055038452148
466,RW,SSL5,beta=5.0,0.635,0.013536691665649414
506,RW,SSL6,beta=1.0,0.805,0.04743170738220215
507,RW,SSL6,beta=3.0,0.8858333333333334,0.5854165554046631
