id,method,dataset,paramters,accuracy,time
17,SVM,SSL1,C=0.1,0.5104079933388843,0.14997005462646484
18,SVM,SSL1,C=1.0,0.9184013322231473,0.14112067222595215
19,SVM,SSL1,C=3.0,0.925895087427144,0.10851263999938965
59,SVM,SSL2,C=0.1,0.8,0.07176351547241211
60,SVM,SSL2,C=1.0,0.8533333333333334,0.06969308853149414
61,SVM,SSL2,C=3.0,0.9133333333333333,0.06613922119140625
101,SVM,SSL3,C=0.1,0.5358333333333334,0.14751505851745605
102,SVM,SSL3,C=1.0,0.5566666666666666,0.1476290225982666
103,SVM,SSL3,C=3.0,0.5666666666666667,0.14670634269714355
143,SVM,SSL4,C=0.1,0.58125,0.006661176681518555
144,SVM,SSL4,C=1.0,0.5875,0.005929231643676758
145,SVM,SSL4,C=3.0,0.60625,0.0060465335845947266
185,SVM,SSL5,C=0.1,0.8341666666666666,0.1535351276397705
186,SVM,SSL5,C=1.0,0.8325,0.1513814926147461
187,SVM,SSL5,C=3.0,0.8225,0.15033221244812012
227,SVM,SSL6,C=0.1,0.19583333333333333,0.1643688678741455
228,SVM,SSL6,C=1.0,0.20833333333333334,0.16413593292236328
229,SVM,SSL6,C=3.0,0.21916666666666668,0.1639399528503418
269,SVM,SSL7,C=0.1,0.5012489592006661,0.15251731872558594
270,SVM,SSL7,C=1.0,0.8442964196502915,0.15071845054626465
271,SVM,SSL7,C=3.0,0.8376353039134055,0.14984679222106934
311,SVM,SSL1,C=0.1,0.5104079933388843,0.14945316314697266
312,SVM,SSL1,C=1.0,0.8967527060782681,0.14535999298095703
313,SVM,SSL1,C=3.0,0.9358867610324729,0.11302947998046875
353,SVM,SSL2,C=0.1,0.8,0.07177448272705078
354,SVM,SSL2,C=1.0,0.8316666666666667,0.07129859924316406
355,SVM,SSL2,C=3.0,0.9033333333333333,0.0655815601348877
395,SVM,SSL3,C=0.1,0.5325,0.1479625701904297
396,SVM,SSL3,C=1.0,0.5533333333333333,0.14681124687194824
397,SVM,SSL3,C=3.0,0.5633333333333334,0.14632391929626465
437,SVM,SSL4,C=0.1,0.56875,0.0066089630126953125
438,SVM,SSL4,C=1.0,0.565625,0.006239891052246094
439,SVM,SSL4,C=3.0,0.590625,0.005894660949707031
479,SVM,SSL5,C=0.1,0.835,0.1546344757080078
480,SVM,SSL5,C=1.0,0.8208333333333333,0.15050005912780762
481,SVM,SSL5,C=3.0,0.8216666666666667,0.1506645679473877
521,SVM,SSL6,C=0.1,0.19583333333333333,0.16615772247314453
522,SVM,SSL6,C=1.0,0.20916666666666667,0.1656053066253662
523,SVM,SSL6,C=3.0,0.2225,0.16541361808776855
563,SVM,SSL7,C=0.1,0.5012489592006661,0.15308022499084473
564,SVM,SSL7,C=1.0,0.8376353039134055,0.15186619758605957
565,SVM,SSL7,C=3.0,0.8309741881765196,0.151533842086792
