id,method,dataset,paramters,accuracy,time
0,watershed,SSL1,NA,0.9600333055786844,0.35582470893859863
1,IFT-SUM,SSL1,NA,0.9641965029142381,0.11728739738464355
2,RW,SSL1,beta=1.0,0.9858451290591174,0.016558170318603516
3,RW,SSL1,beta=3.0,0.9850124895920067,0.013721942901611328
4,RW,SSL1,beta=5.0,0.9850124895920067,0.013737678527832031
5,PW,SSL1,beta=1.0:k=3,0.9850124895920067,2.177469491958618
6,PW,SSL1,beta=1.0:k=5,0.9850124895920067,3.0785205364227295
7,PW,SSL1,beta=1.0:k=10,0.9850124895920067,5.637600660324097
8,PW,SSL1,beta=3.0:k=3,0.9850124895920067,1.9711322784423828
9,PW,SSL1,beta=3.0:k=5,0.9850124895920067,3.284816026687622
10,PW,SSL1,beta=3.0:k=10,0.9850124895920067,5.472982168197632
11,PW,SSL1,beta=5.0:k=3,0.9850124895920067,2.1663870811462402
12,PW,SSL1,beta=5.0:k=5,0.9850124895920067,3.4201278686523438
13,PW,SSL1,beta=5.0:k=10,0.9850124895920067,5.157248020172119
14,SVM,SSL1,C=0.1,0.5104079933388843,0.1533188819885254
15,SVM,SSL1,C=1.0,0.929225645295587,0.1455981731414795
16,SVM,SSL1,C=3.0,0.9392173189009159,0.11032366752624512
17,1NN,SSL1,NA,0.9641965029142381,0.15939855575561523
18,RFC,SSL1,NA,0.9600333055786844,0.21019959449768066
19,Ensemblewatershed,SSL1,num_features=20,0.9791840133222315,37.287572622299194
20,Ensemblewatershed,SSL1,num_features=30,0.9850124895920067,37.97689628601074
21,Ensemblewatershed,SSL1,num_features=50,0.9858451290591174,39.3790717124939
22,watershed,SSL2,NA,0.9566666666666667,0.40686631202697754
23,IFT-SUM,SSL2,NA,0.9441666666666667,0.13080358505249023
24,RW,SSL2,beta=1.0,0.9066666666666666,0.02737569808959961
25,RW,SSL2,beta=3.0,0.9083333333333333,0.10535740852355957
26,RW,SSL2,beta=5.0,0.9058333333333334,0.036270856857299805
27,PW,SSL2,beta=1.0:k=3,0.9058333333333334,2.2986621856689453
28,PW,SSL2,beta=1.0:k=5,0.9058333333333334,3.30313777923584
29,PW,SSL2,beta=1.0:k=10,0.9058333333333334,5.313681364059448
30,PW,SSL2,beta=3.0:k=3,0.9058333333333334,2.255610704421997
31,PW,SSL2,beta=3.0:k=5,0.9058333333333334,3.2483510971069336
32,PW,SSL2,beta=3.0:k=10,0.9058333333333334,5.7453155517578125
33,PW,SSL2,beta=5.0:k=3,0.9058333333333334,2.32487154006958
34,PW,SSL2,beta=5.0:k=5,0.9058333333333334,3.1802847385406494
35,PW,SSL2,beta=5.0:k=10,0.9058333333333334,5.74515438079834
36,SVM,SSL2,C=0.1,0.8,0.06938552856445312
37,SVM,SSL2,C=1.0,0.8208333333333333,0.06714916229248047
38,SVM,SSL2,C=3.0,0.9108333333333334,0.06491875648498535
39,1NN,SSL2,NA,0.9441666666666667,0.15058684349060059
40,RFC,SSL2,NA,0.8808333333333334,0.2082986831665039
41,Ensemblewatershed,SSL2,num_features=20,0.9016666666666666,40.966559171676636
42,Ensemblewatershed,SSL2,num_features=30,0.9025,40.702874422073364
43,Ensemblewatershed,SSL2,num_features=50,0.9108333333333334,43.1530876159668
44,watershed,SSL3,NA,1.0,1.1100811958312988
45,IFT-SUM,SSL3,NA,0.9516666666666667,0.39499783515930176
46,RW,SSL3,beta=1.0,0.7916666666666666,0.03727602958679199
47,RW,SSL3,beta=3.0,0.9125,0.23402905464172363
48,RW,SSL3,beta=5.0,0.9566666666666667,0.506227970123291
49,PW,SSL3,beta=1.0:k=3,0.9566666666666667,4.5773303508758545
50,PW,SSL3,beta=1.0:k=5,0.9566666666666667,6.911397695541382
51,PW,SSL3,beta=1.0:k=10,0.9566666666666667,13.780320882797241
52,PW,SSL3,beta=3.0:k=3,0.9566666666666667,4.771696090698242
53,PW,SSL3,beta=3.0:k=5,0.9566666666666667,6.88530158996582
54,PW,SSL3,beta=3.0:k=10,0.9566666666666667,14.131154537200928
55,PW,SSL3,beta=5.0:k=3,0.9566666666666667,4.775814533233643
56,PW,SSL3,beta=5.0:k=5,0.9566666666666667,6.6836628913879395
57,PW,SSL3,beta=5.0:k=10,0.9566666666666667,14.650682210922241
58,SVM,SSL3,C=0.1,0.5208333333333334,0.14101552963256836
59,SVM,SSL3,C=1.0,0.5516666666666666,0.1394665241241455
60,SVM,SSL3,C=3.0,0.5583333333333333,0.1393129825592041
61,1NN,SSL3,NA,0.9516666666666667,0.10315847396850586
62,RFC,SSL3,NA,0.9291666666666667,0.1950070858001709
63,Ensemblewatershed,SSL3,num_features=20,0.9866666666666667,112.5498297214508
64,Ensemblewatershed,SSL3,num_features=30,0.9933333333333333,114.43090415000916
65,Ensemblewatershed,SSL3,num_features=50,1.0,119.51249861717224
66,watershed,SSL4,NA,0.53125,0.10422134399414062
67,IFT-SUM,SSL4,NA,0.53125,0.034119606018066406
68,RW,SSL4,beta=1.0,0.509375,0.013646602630615234
69,RW,SSL4,beta=3.0,0.465625,0.017525911331176758
70,RW,SSL4,beta=5.0,0.54375,0.00861978530883789
71,PW,SSL4,beta=1.0:k=3,0.54375,0.8279750347137451
72,PW,SSL4,beta=1.0:k=5,0.54375,1.3197293281555176
73,PW,SSL4,beta=1.0:k=10,0.54375,1.7075941562652588
74,PW,SSL4,beta=3.0:k=3,0.54375,0.853935718536377
75,PW,SSL4,beta=3.0:k=5,0.54375,1.2839889526367188
76,PW,SSL4,beta=3.0:k=10,0.54375,1.643219232559204
77,PW,SSL4,beta=5.0:k=3,0.54375,0.8395404815673828
78,PW,SSL4,beta=5.0:k=5,0.54375,1.080350399017334
79,PW,SSL4,beta=5.0:k=10,0.54375,1.6604034900665283
80,SVM,SSL4,C=0.1,0.54375,0.006424427032470703
81,SVM,SSL4,C=1.0,0.565625,0.0059587955474853516
82,SVM,SSL4,C=3.0,0.59375,0.00601649284362793
83,1NN,SSL4,NA,0.528125,0.006180524826049805
84,RFC,SSL4,NA,0.5875,0.08513617515563965
85,Ensemblewatershed,SSL4,num_features=20,0.509375,10.021581649780273
86,Ensemblewatershed,SSL4,num_features=30,0.490625,10.076870918273926
