id,method,dataset,paramters,accuracy,time
0,watershed,SSL1,NA,0.9750208159866778,0.3675076961517334
1,IFT-SUM,SSL1,NA,0.9733555370524563,0.11887621879577637
2,RW,SSL1,beta=1.0,0.9825145711906744,0.016816377639770508
3,RW,SSL1,beta=3.0,0.9833472106577852,0.013309240341186523
4,RW,SSL1,beta=5.0,0.9825145711906744,0.013588428497314453
5,PW,SSL1,beta=1.0:k=3,0.9825145711906744,2.2358644008636475
6,PW,SSL1,beta=1.0:k=5,0.9825145711906744,3.226668357849121
7,PW,SSL1,beta=1.0:k=10,0.9825145711906744,5.631372928619385
8,PW,SSL1,beta=3.0:k=3,0.9825145711906744,2.2091245651245117
9,PW,SSL1,beta=3.0:k=5,0.9825145711906744,3.068506956100464
10,PW,SSL1,beta=3.0:k=10,0.9825145711906744,6.082569360733032
11,PW,SSL1,beta=5.0:k=3,0.9825145711906744,2.116305351257324
12,PW,SSL1,beta=5.0:k=5,0.9825145711906744,3.234081268310547
13,PW,SSL1,beta=5.0:k=10,0.9825145711906744,5.827069282531738
14,SVM,SSL1,C=0.1,0.5104079933388843,0.14385652542114258
15,SVM,SSL1,C=1.0,0.9375520399666945,0.13791966438293457
16,SVM,SSL1,C=3.0,0.9317235636969192,0.10682296752929688
17,1NN,SSL1,NA,0.9733555370524563,0.1495206356048584
18,RFC,SSL1,NA,0.9616985845129059,0.19796967506408691
19,Ensemblewatershed,SSL1,num_features=20,0.9733555370524563,37.20047950744629
20,Ensemblewatershed,SSL1,num_features=30,0.9833472106577852,37.52684044837952
21,Ensemblewatershed,SSL1,num_features=50,0.9825145711906744,38.276052474975586
22,watershed,SSL2,NA,0.955,0.4104950428009033
23,IFT-SUM,SSL2,NA,0.9491666666666667,0.13155770301818848
24,RW,SSL2,beta=1.0,0.9016666666666666,0.027417421340942383
25,RW,SSL2,beta=3.0,0.915,0.09671425819396973
26,RW,SSL2,beta=5.0,0.8875,0.034752607345581055
27,PW,SSL2,beta=1.0:k=3,0.8875,2.4046523571014404
28,PW,SSL2,beta=1.0:k=5,0.8875,3.2149670124053955
29,PW,SSL2,beta=1.0:k=10,0.8875,5.527496814727783
30,PW,SSL2,beta=3.0:k=3,0.8875,2.3575971126556396
31,PW,SSL2,beta=3.0:k=5,0.8875,3.263479709625244
32,PW,SSL2,beta=3.0:k=10,0.8875,6.007391691207886
33,PW,SSL2,beta=5.0:k=3,0.8875,2.31980562210083
34,PW,SSL2,beta=5.0:k=5,0.8875,3.121551036834717
35,PW,SSL2,beta=5.0:k=10,0.8875,5.3257153034210205
36,SVM,SSL2,C=0.1,0.8,0.06595706939697266
37,SVM,SSL2,C=1.0,0.8591666666666666,0.0638573169708252
38,SVM,SSL2,C=3.0,0.9041666666666667,0.05846738815307617
39,1NN,SSL2,NA,0.9491666666666667,0.15062236785888672
40,RFC,SSL2,NA,0.8808333333333334,0.1944429874420166
41,Ensemblewatershed,SSL2,num_features=20,0.9125,41.38885712623596
42,Ensemblewatershed,SSL2,num_features=30,0.92,41.663164138793945
43,Ensemblewatershed,SSL2,num_features=50,0.9258333333333333,42.42876482009888
44,watershed,SSL3,NA,1.0,1.0785870552062988
45,IFT-SUM,SSL3,NA,0.95,0.2939333915710449
46,RW,SSL3,beta=1.0,0.7733333333333333,0.03759050369262695
47,RW,SSL3,beta=3.0,0.8783333333333333,0.2276625633239746
48,RW,SSL3,beta=5.0,0.9558333333333333,0.5222353935241699
49,PW,SSL3,beta=1.0:k=3,0.9558333333333333,4.601024150848389
50,PW,SSL3,beta=1.0:k=5,0.9558333333333333,6.894879102706909
51,PW,SSL3,beta=1.0:k=10,0.9558333333333333,14.048294067382812
52,PW,SSL3,beta=3.0:k=3,0.9558333333333333,4.724059581756592
53,PW,SSL3,beta=3.0:k=5,0.9558333333333333,6.88944935798645
54,PW,SSL3,beta=3.0:k=10,0.9558333333333333,14.454258918762207
55,PW,SSL3,beta=5.0:k=3,0.9558333333333333,4.872479438781738
56,PW,SSL3,beta=5.0:k=5,0.9558333333333333,6.751134872436523
57,PW,SSL3,beta=5.0:k=10,0.9558333333333333,16.614890098571777
58,SVM,SSL3,C=0.1,0.53,0.14117646217346191
59,SVM,SSL3,C=1.0,0.5625,0.13928914070129395
60,SVM,SSL3,C=3.0,0.575,0.13927412033081055
61,1NN,SSL3,NA,0.95,0.09999465942382812
62,RFC,SSL3,NA,0.9191666666666667,0.19064569473266602
63,Ensemblewatershed,SSL3,num_features=20,0.9866666666666667,111.34066486358643
64,Ensemblewatershed,SSL3,num_features=30,0.9983333333333333,114.72453927993774
65,Ensemblewatershed,SSL3,num_features=50,1.0,122.86253619194031
66,watershed,SSL4,NA,0.521875,0.10375142097473145
67,IFT-SUM,SSL4,NA,0.515625,0.03409171104431152
68,RW,SSL4,beta=1.0,0.509375,0.013820886611938477
